ID;CAPACIDAD;TIPO;DOTACION;PRECIONOCHE;CONSUMOEXTRA;HOTELID;RESERVAID;USUARIOID;SERVICIOCONSUMOID
8230;7;suite;Pillows;906;221;692;42991;13153;18018
8231;8;cottage;Hangers;567;488;216;11784;8510;37185
8232;11;suite;Coffee maker;384;880;965;35150;31762;37059
8233;6;penthouse;Coffee maker;363;410;260;14728;42781;6289
8234;10;double;Toiletries;538;861;786;15209;214;41570
8235;11;bungalow;Pillows;54;830;553;9788;19711;921
8236;14;twin;Mini fridge;117;304;542;49457;37912;23754
8237;5;twin;Hairdryer;492;271;758;12575;37572;1910
8238;8;penthouse;Blankets;956;185;631;21332;12998;14143
8239;7;single;Coffee maker;39;362;364;42205;34213;18683
8240;15;suite;Towels;326;71;648;13239;43845;8162
8241;11;bungalow;Toiletries;761;788;345;6221;9230;5238
8242;12;suite;Mini fridge;527;451;866;47653;5271;22702
8243;11;double;Bed sheets;513;756;628;5257;25836;27779
8244;1;studio;Safe box;450;196;715;165;29921;9107
8245;5;twin;Mini fridge;811;996;392;49362;38303;41478
8246;3;bungalow;Mini fridge;104;378;858;15119;36405;45601
8247;9;penthouse;Safe box;399;851;273;27300;46108;46559
8248;12;bungalow;Toiletries;600;196;936;22041;49800;39656
8249;10;suite;Mini fridge;573;78;784;18857;39401;686
8250;13;penthouse;Blankets;547;860;790;7345;19803;19322
8251;1;suite;Mini fridge;733;466;954;37878;19011;43529
8252;4;bungalow;Blankets;933;647;811;36946;41820;27671
8253;3;suite;Towels;456;34;85;38218;932;14431
8254;15;twin;Coffee maker;513;58;92;26871;21535;35196
8255;8;studio;Blankets;863;893;754;11119;31688;34796
8256;4;double;Coffee maker;476;610;108;31816;2663;7196
8257;14;loft;Hairdryer;526;727;378;8251;37615;29431
8258;13;suite;Blankets;716;107;447;48938;17824;15606
8259;11;bungalow;Pillows;184;678;187;45126;29396;42866
8260;12;loft;Toiletries;338;347;114;20247;15180;34365
8261;4;cottage;Hairdryer;794;640;973;47802;26666;41860
8262;6;double;Mini fridge;662;739;11;21304;7912;24509
8263;4;suite;Toiletries;874;512;856;9381;44413;22085
8264;13;twin;Pillows;503;539;540;16098;48449;16918
8265;3;suite;Mini fridge;916;953;951;4576;41550;9117
8266;9;studio;Bed sheets;738;933;749;31940;40367;18870
8267;2;suite;Hangers;113;660;277;14997;29262;43371
8268;13;double;Safe box;145;203;56;36470;6386;46630
8269;12;cottage;Bed sheets;91;975;960;7384;48393;32429
8270;14;apartment;Towels;955;531;213;1841;42474;45988
8271;7;suite;Blankets;346;691;600;2132;7368;26452
8272;14;suite;Hangers;151;12;274;26954;34577;21013
8273;1;suite;Towels;145;545;881;10112;11004;10666
8274;4;bungalow;Hangers;947;687;391;14346;19569;1643
8275;5;suite;Toiletries;338;659;604;41925;32414;44895
8276;3;cottage;Coffee maker;213;365;182;19201;38512;22689
8277;13;double;Blankets;192;225;516;46165;48101;10965
8278;2;twin;Coffee maker;82;172;997;6817;9434;4950
8279;9;single;Hairdryer;342;621;610;3645;42965;37200
8280;3;single;Towels;882;721;399;25126;49986;40866
8281;2;cottage;Towels;392;378;60;29136;23540;28067
8282;12;twin;Blankets;89;35;445;3405;13484;25740
8283;15;loft;Safe box;881;267;656;41117;29403;29734
8284;15;suite;Hangers;408;505;60;19697;17547;32837
8285;1;double;Hangers;97;634;792;49027;25635;17078
8286;9;twin;Blankets;49;932;17;13052;49460;41446
8287;12;double;Safe box;572;974;981;45018;29713;13247
8288;9;penthouse;Hairdryer;886;827;570;35898;33289;18768
8289;1;double;Toiletries;845;854;828;16924;31578;46432
8290;7;single;Hairdryer;116;360;687;8818;33365;3624
8291;15;bungalow;Blankets;464;918;612;4339;17460;9825
8292;2;bungalow;Bed sheets;305;431;856;10544;49773;15472
8293;7;apartment;Bed sheets;178;212;819;11200;32753;11130
8294;13;single;Bed sheets;817;732;550;7255;39963;29118
8295;14;double;Blankets;109;580;939;49547;3612;10588
8296;1;apartment;Blankets;168;23;575;23222;1470;16926
8297;6;twin;Hangers;41;312;870;45053;40503;2496
8298;13;bungalow;Safe box;53;499;269;23768;24957;8985
8299;9;single;Pillows;842;820;99;23579;28821;48711
8300;15;single;Coffee maker;9;417;775;49295;42077;12825
8301;10;suite;Bed sheets;204;990;157;19182;21893;30172
8302;11;cottage;Safe box;191;688;825;11529;32364;49280
8303;10;double;Mini fridge;271;344;438;21198;1766;44336
8304;14;penthouse;Toiletries;189;232;623;35579;44334;28577
8305;4;twin;Coffee maker;796;713;238;41375;25013;23011
8306;6;double;Towels;382;26;906;40047;28322;18425
8307;9;single;Bed sheets;159;471;257;21736;49782;7998
8308;15;studio;Blankets;262;386;43;27160;22;5423
8309;11;twin;Coffee maker;67;408;36;41103;44829;24878
8310;4;suite;Pillows;334;564;279;24006;26550;22980
8311;7;cottage;Pillows;328;643;751;31091;38495;7483
8312;12;penthouse;Hangers;571;738;702;24899;47042;12966
8313;2;loft;Safe box;816;755;761;24667;40544;5794
8314;10;loft;Coffee maker;731;853;16;42332;20886;21515
8315;1;twin;Pillows;795;394;296;35650;21771;21565
8316;4;suite;Hangers;179;818;582;38951;14849;28067
8317;6;twin;Safe box;280;222;754;13397;33275;2412
8318;8;apartment;Pillows;240;576;265;21704;2429;43222
8319;15;twin;Toiletries;32;792;712;49571;1322;40180
8320;10;single;Hangers;465;149;15;9427;9603;6766
8321;9;studio;Hangers;400;700;853;3821;35990;13828
8322;12;single;Hairdryer;291;812;654;25991;5324;33102
8323;11;double;Towels;626;831;779;11610;20936;15794
8324;4;apartment;Bed sheets;125;321;800;40836;8699;38577
8325;14;bungalow;Coffee maker;706;142;445;23377;49279;43518
8326;14;penthouse;Coffee maker;556;779;476;26177;41354;24416
8327;11;apartment;Coffee maker;880;211;271;22501;16876;15850
8328;7;apartment;Towels;874;150;708;20902;42720;228
8329;10;suite;Pillows;83;486;271;38571;16570;7747
8330;13;loft;Blankets;155;155;255;18963;9734;14323
8331;6;studio;Hairdryer;238;214;103;40194;10252;37548
8332;13;apartment;Hangers;121;22;376;36669;36944;22069
8333;11;double;Pillows;187;330;636;38152;10362;42899
8334;13;loft;Hangers;765;611;26;15610;35894;2533
8335;13;twin;Mini fridge;446;212;434;22519;34436;6709
8336;10;single;Bed sheets;86;514;65;18583;41429;33580
8337;7;single;Blankets;855;782;561;20105;19772;13093
8338;2;single;Hairdryer;250;211;298;46601;32042;20191
8339;11;suite;Bed sheets;776;802;458;30276;46270;37353
8340;2;twin;Toiletries;307;477;201;42645;12246;44990
8341;3;apartment;Toiletries;554;570;510;13756;44235;19191
8342;15;bungalow;Towels;965;643;53;21202;8567;9352
8343;10;suite;Mini fridge;647;173;442;9145;47896;33083
8344;1;twin;Hangers;665;958;587;1084;49061;42253
8345;10;loft;Coffee maker;284;680;364;24804;19328;17979
8346;7;single;Coffee maker;103;875;348;11519;49279;11901
8347;6;double;Blankets;780;43;227;47501;10185;33921
8348;14;cottage;Safe box;175;384;838;12698;36518;49099
8349;10;apartment;Towels;783;820;125;4754;25839;27425
8350;13;twin;Hairdryer;501;619;510;14675;43451;35345
8351;5;loft;Towels;495;865;680;219;38570;3953
8352;11;double;Pillows;720;190;933;42148;43216;45886
8353;10;studio;Hairdryer;600;892;362;3858;21315;35354
8354;11;studio;Mini fridge;359;151;90;1269;21853;19670
8355;10;cottage;Bed sheets;56;101;816;13772;36321;19546
8356;8;suite;Hangers;615;100;388;11264;11583;43364
8357;3;studio;Hangers;844;136;856;4035;46746;25186
8358;1;penthouse;Hangers;553;766;411;14529;39876;31925
8359;2;loft;Coffee maker;356;287;991;49479;37953;7422
8360;11;apartment;Hairdryer;551;181;521;25659;7825;40275
8361;10;bungalow;Mini fridge;954;962;318;6649;7073;44934
8362;13;penthouse;Hairdryer;612;234;217;2202;16260;38577
8363;12;cottage;Bed sheets;746;138;382;6491;22415;47905
8364;5;studio;Safe box;306;233;578;39341;44496;26516
8365;9;cottage;Blankets;420;126;622;23932;4812;41118
8366;7;loft;Blankets;971;577;619;21409;13854;36177
8367;3;suite;Hairdryer;67;513;631;49932;30157;1296
8368;8;twin;Safe box;410;502;792;1818;28142;26618
8369;6;single;Hangers;45;73;321;1262;1338;41288
8370;15;loft;Safe box;829;899;670;21397;49877;17528
8371;4;twin;Pillows;898;101;604;10742;18275;40103
8372;12;cottage;Safe box;188;852;621;19596;31050;41501
8373;2;studio;Mini fridge;991;134;883;25961;24118;47557
8374;5;suite;Safe box;360;146;329;3155;24047;6866
8375;7;apartment;Bed sheets;108;205;741;44225;10752;15386
8376;10;double;Coffee maker;283;687;714;10404;33785;40662
8377;3;cottage;Mini fridge;107;354;990;1408;39735;12755
8378;9;apartment;Hangers;499;311;890;36521;8057;27553
8379;1;studio;Safe box;206;75;503;7128;16532;17171
8380;6;penthouse;Safe box;74;876;806;48744;20054;16012
8381;1;double;Mini fridge;155;98;966;37640;38868;48610
8382;2;twin;Towels;387;777;952;31094;39240;27798
8383;6;penthouse;Towels;893;137;552;23727;46092;27907
8384;4;apartment;Towels;346;437;292;48556;12367;41316
8385;13;double;Coffee maker;366;625;565;15448;14277;37557
8386;9;suite;Hangers;870;574;158;9319;21885;5209
8387;6;single;Hairdryer;417;932;975;37318;23286;27614
8388;11;cottage;Pillows;251;243;140;31533;392;30142
8389;6;apartment;Hairdryer;657;683;739;27136;24753;18295
8390;6;studio;Pillows;79;885;506;26749;40907;37424
8391;10;single;Hairdryer;234;831;260;35099;10594;24383
8392;3;apartment;Coffee maker;38;431;165;8984;25547;18839
8393;4;loft;Toiletries;407;390;672;6956;1602;49218
8394;3;single;Toiletries;312;111;294;27647;22269;31567
8395;13;double;Hairdryer;934;395;652;30850;10474;31917
8396;14;suite;Hangers;430;889;86;2831;32292;6293
8397;8;loft;Hairdryer;429;804;591;13374;8774;36491
8398;11;loft;Towels;609;570;544;37436;4316;10408
8399;4;suite;Toiletries;527;688;738;19739;26811;9258
8400;5;suite;Safe box;289;719;426;25258;44700;31212
8401;9;suite;Hairdryer;950;86;219;15536;7037;6763
8402;7;loft;Blankets;482;86;503;37821;8264;11657
8403;6;bungalow;Mini fridge;535;171;726;17430;28785;32268
8404;13;loft;Towels;406;652;316;6148;35938;8558
8405;6;loft;Coffee maker;626;911;495;9176;24543;43753
8406;3;cottage;Hairdryer;892;643;653;32791;5728;47843
8407;12;bungalow;Hairdryer;246;647;24;34823;27395;17434
8408;7;suite;Towels;130;13;423;17193;19011;8876
8409;14;suite;Bed sheets;985;936;318;17415;11142;15552
8410;8;penthouse;Safe box;413;552;628;14627;11575;4900
8411;12;suite;Towels;25;518;502;773;16508;17844
8412;7;twin;Blankets;587;245;4;28628;4741;26551
8413;10;loft;Hairdryer;595;19;73;2608;20012;15276
8414;3;penthouse;Coffee maker;461;631;873;2665;5327;18256
8415;7;suite;Blankets;92;94;532;3235;28505;31711
8416;8;penthouse;Coffee maker;150;253;758;3279;1790;27659
8417;4;penthouse;Toiletries;981;616;757;16311;46671;6975
8418;9;apartment;Pillows;85;576;806;49107;8225;36718
8419;14;bungalow;Bed sheets;515;376;277;13336;12373;16440
8420;3;penthouse;Pillows;10;152;719;19149;37399;31850
8421;5;loft;Hangers;937;153;55;564;38943;16921
8422;7;twin;Hairdryer;962;807;678;28951;14644;41320
8423;10;twin;Hangers;455;692;600;38288;28860;31529
8424;6;cottage;Safe box;590;64;278;23911;32722;31548
8425;10;apartment;Mini fridge;424;13;765;20235;40748;20527
8426;9;twin;Toiletries;966;460;413;8306;10802;11232
8427;8;apartment;Bed sheets;579;801;818;20132;25557;9977
8428;14;suite;Blankets;97;259;10;11961;3908;45145
8429;6;cottage;Safe box;887;773;95;29436;46411;37666
8430;2;single;Blankets;239;731;658;4972;48053;30633
8431;12;apartment;Towels;616;757;608;36878;34549;26391
8432;2;penthouse;Toiletries;36;632;234;4592;41067;2823
8433;15;apartment;Pillows;785;435;911;3996;4264;22990
8434;6;penthouse;Coffee maker;31;805;162;43938;43859;6779
8435;10;suite;Hangers;31;497;316;16464;1608;1649
8436;5;suite;Toiletries;555;791;522;48953;2807;10867
8437;7;apartment;Towels;690;277;754;31301;31189;34398
8438;10;studio;Hairdryer;793;574;314;1852;40893;25882
8439;7;suite;Hairdryer;363;201;881;24913;16909;22387
8440;14;cottage;Safe box;964;689;217;32525;45858;14634
8441;9;studio;Bed sheets;974;229;985;3104;26191;13026
8442;15;studio;Bed sheets;581;684;710;17487;16245;4696
8443;15;cottage;Towels;664;942;183;586;30878;25716
8444;7;loft;Toiletries;585;33;235;27577;46952;9070
8445;10;penthouse;Hairdryer;243;604;282;25401;39056;8454
8446;11;bungalow;Toiletries;152;435;233;29831;24672;40092
8447;4;bungalow;Towels;854;722;935;49029;16403;19773
8448;11;twin;Safe box;501;712;530;16703;13875;45035
8449;13;loft;Coffee maker;65;793;366;49194;36792;14968
8450;15;studio;Towels;682;869;596;42132;30653;16034
8451;15;single;Mini fridge;586;87;583;42854;18297;44180
8452;8;loft;Blankets;309;433;133;9873;1398;15914
8453;1;cottage;Safe box;69;964;591;6564;37758;38148
8454;12;studio;Blankets;624;388;597;43457;16211;1097
8455;2;bungalow;Safe box;984;729;108;15793;42172;32634
8456;1;cottage;Toiletries;284;535;205;14406;39455;40060
8457;4;loft;Hairdryer;904;49;710;18171;36844;42958
8458;6;apartment;Mini fridge;311;601;373;8094;16972;47705
8459;7;single;Hairdryer;568;22;51;48799;47561;22060
8460;11;cottage;Hangers;234;499;223;12324;20935;26765
8461;12;studio;Pillows;640;253;843;12424;23702;6507
8462;2;apartment;Bed sheets;460;539;53;17188;48496;37546
8463;12;single;Towels;550;987;332;13076;26710;23802
8464;1;apartment;Coffee maker;298;516;953;32188;26503;48830
8465;5;studio;Hangers;119;180;832;35544;6380;2019
8466;13;apartment;Towels;420;612;466;12309;12035;41498
8467;1;suite;Bed sheets;537;379;534;41587;13499;24356
8468;12;suite;Blankets;490;627;999;37381;13572;5127
8469;4;twin;Bed sheets;555;79;156;295;15266;23524
8470;9;loft;Mini fridge;69;71;963;13098;20220;20955
8471;10;twin;Mini fridge;431;763;293;27230;38741;24409
8472;10;twin;Blankets;954;969;887;5908;9861;41096
8473;11;cottage;Bed sheets;873;969;998;18075;5116;48251
8474;10;suite;Towels;624;949;622;4145;19277;8544
8475;2;cottage;Mini fridge;940;526;286;241;29661;44714
8476;10;apartment;Toiletries;934;949;235;26684;30134;34318
8477;9;twin;Coffee maker;431;605;89;19466;35178;32566
8478;11;cottage;Bed sheets;803;986;203;37480;10620;26615
8479;14;cottage;Pillows;836;195;1;2244;11199;9614
8480;1;single;Mini fridge;353;484;979;4791;33636;42477
8481;2;cottage;Hairdryer;446;846;399;49670;41114;33236
8482;11;penthouse;Safe box;516;579;427;42049;5074;4432
8483;4;loft;Blankets;242;266;972;35965;24016;3229
8484;1;penthouse;Mini fridge;562;765;628;18481;28335;26669
8485;15;twin;Safe box;445;657;895;1802;37588;20023
8486;2;double;Toiletries;487;983;208;26433;7707;15817
8487;2;penthouse;Pillows;421;37;824;21061;8329;10785
8488;13;cottage;Blankets;11;456;773;37727;40580;1795
8489;6;loft;Safe box;557;421;598;14773;35775;37711
8490;10;loft;Coffee maker;254;514;48;10710;46779;48081
8491;10;apartment;Toiletries;749;763;526;3601;47254;47912
8492;7;double;Hairdryer;588;642;975;12067;13606;37990
8493;4;suite;Bed sheets;78;838;135;34476;4935;32684
8494;6;cottage;Blankets;149;731;123;26150;30379;18304
8495;8;suite;Hairdryer;644;938;467;26095;27720;42026
8496;5;penthouse;Mini fridge;74;697;407;45121;36854;42523
8497;6;studio;Hangers;988;192;737;17516;1966;12062
8498;4;bungalow;Bed sheets;688;746;99;40597;22343;26326
8499;11;single;Towels;273;738;789;38202;11096;41363
8500;11;penthouse;Hangers;402;465;564;43552;11567;36329
8501;4;penthouse;Blankets;411;904;164;49048;31656;30252
8502;9;twin;Hairdryer;20;739;814;6958;13338;20602
8503;1;double;Bed sheets;840;438;92;48170;48538;31643
8504;5;cottage;Pillows;496;234;98;20421;34269;22761
8505;12;single;Coffee maker;334;476;769;21788;45963;36089
8506;14;cottage;Mini fridge;566;54;907;3610;4108;14427
8507;10;studio;Pillows;225;256;624;45806;27318;28808
8508;7;bungalow;Coffee maker;418;924;771;36917;29467;6968
8509;4;bungalow;Towels;264;36;990;5393;30398;16166
8510;6;twin;Hairdryer;471;950;609;29750;26783;21367
8511;13;bungalow;Towels;1;779;778;25448;20443;25920
8512;3;twin;Bed sheets;82;270;820;38623;7627;18076
8513;8;single;Coffee maker;750;78;315;5493;29282;9136
8514;5;double;Blankets;285;879;439;43792;30029;1446
8515;15;double;Blankets;788;907;900;25730;37630;45418
8516;4;penthouse;Bed sheets;14;491;537;7793;19706;46317
8517;15;loft;Mini fridge;776;917;999;4351;30036;41124
8518;3;twin;Coffee maker;420;210;153;26780;23567;44959
8519;9;twin;Bed sheets;580;313;964;44966;7042;49253
8520;9;penthouse;Safe box;387;396;26;15470;6313;9105
8521;9;bungalow;Bed sheets;208;331;402;13097;38588;9738
8522;14;apartment;Toiletries;338;401;557;48021;48244;9150
8523;15;cottage;Towels;888;436;665;19124;11892;11460
8524;14;apartment;Bed sheets;455;85;543;27304;35086;9653
8525;6;cottage;Blankets;199;715;234;44133;12005;278
8526;9;bungalow;Blankets;796;559;720;42077;9316;47381
8527;3;penthouse;Hairdryer;313;762;521;45515;3088;34122
8528;15;suite;Pillows;916;20;700;20339;49603;14400
8529;5;loft;Toiletries;158;594;478;16952;15090;31546
8530;2;single;Hangers;146;898;906;5284;4204;1829
8531;5;studio;Blankets;733;968;143;12074;24517;4861
8532;8;bungalow;Blankets;709;678;555;2327;47165;39902
8533;12;suite;Bed sheets;60;752;864;21985;37440;9577
8534;7;penthouse;Safe box;157;564;397;21282;21438;47163
8535;15;bungalow;Mini fridge;203;872;973;48994;35034;2882
8536;6;apartment;Pillows;106;921;751;21969;5834;46772
8537;7;suite;Blankets;604;515;397;5676;47402;26195
8538;10;single;Towels;972;537;810;33332;5469;40814
8539;5;penthouse;Bed sheets;699;913;284;26493;40930;28323
8540;14;loft;Mini fridge;873;143;681;43720;4276;38783
8541;8;bungalow;Pillows;390;775;990;5386;44247;3672
8542;7;studio;Towels;625;285;150;49913;45433;14617
8543;3;loft;Toiletries;298;846;277;19860;7672;38911
8544;9;twin;Safe box;178;687;528;44042;32070;45287
8545;12;bungalow;Coffee maker;505;773;575;48819;17103;48422
8546;8;studio;Towels;186;476;384;20685;22425;29010
8547;10;single;Pillows;643;328;35;29707;38758;9918
8548;14;bungalow;Bed sheets;214;242;648;46170;550;712
8549;13;suite;Blankets;97;194;269;13566;12116;16411
8550;8;twin;Bed sheets;56;638;978;17312;23102;45336
8551;3;apartment;Hangers;991;193;343;49058;12539;6141
8552;5;penthouse;Safe box;683;682;200;26511;12838;15131
8553;4;twin;Hairdryer;819;308;793;7996;34964;19610
8554;11;suite;Coffee maker;490;555;520;37979;29218;48898
8555;14;studio;Pillows;650;58;419;6611;35716;32211
8556;1;penthouse;Hangers;410;297;430;40269;12682;13191
8557;7;apartment;Hangers;116;718;499;16216;14879;40564
8558;5;studio;Hangers;441;957;757;44509;9293;29980
8559;8;cottage;Toiletries;820;166;882;41860;30379;47235
8560;5;bungalow;Hairdryer;869;577;308;22704;12699;46737
8561;5;twin;Towels;755;374;736;15017;19479;9215
8562;10;twin;Mini fridge;372;491;416;10033;3443;15400
8563;8;penthouse;Hangers;77;581;683;20022;38547;26288
8564;7;studio;Mini fridge;743;295;524;26714;24073;33848
8565;1;penthouse;Hairdryer;146;413;927;23083;2657;2680
8566;5;loft;Hairdryer;242;987;368;47461;41957;17103
8567;8;double;Coffee maker;111;754;704;22304;26243;36490
8568;4;bungalow;Blankets;461;320;4;45306;49043;45169
8569;15;double;Blankets;574;15;829;41910;44218;22003
8570;14;apartment;Bed sheets;941;983;792;49149;18409;6448
8571;7;single;Towels;542;122;21;8762;25421;22372
8572;7;twin;Safe box;429;41;879;12738;7613;10178
8573;1;apartment;Toiletries;187;393;341;21524;49801;10539
8574;7;studio;Mini fridge;712;844;718;48509;28809;31341
8575;14;double;Pillows;62;665;768;16583;46369;12697
8576;15;twin;Hairdryer;89;67;59;12930;1561;31451
8577;14;twin;Hangers;387;485;21;41829;5955;32428
8578;6;studio;Toiletries;835;8;54;30414;11028;35190
8579;9;studio;Bed sheets;180;906;447;2276;48852;24063
8580;8;suite;Pillows;755;226;858;8457;11258;21811
8581;8;double;Blankets;344;727;231;5056;712;38579
8582;1;apartment;Safe box;668;762;556;8672;24886;42649
8583;12;apartment;Pillows;282;620;359;32963;12256;10316
8584;12;apartment;Safe box;246;558;911;18968;9436;30454
8585;3;bungalow;Pillows;190;647;118;15323;47637;15952
8586;14;loft;Pillows;971;757;606;9902;35515;16709
8587;1;suite;Hangers;459;158;770;9016;4408;12600
8588;7;loft;Pillows;530;645;14;43596;38494;35004
8589;3;single;Coffee maker;609;408;636;34507;14461;21068
8590;7;apartment;Mini fridge;733;449;96;1896;6673;3695
8591;9;twin;Safe box;881;824;291;25751;2486;16211
8592;5;bungalow;Hairdryer;434;124;331;11398;27126;33817
8593;3;loft;Towels;66;751;17;34912;22546;12197
8594;6;double;Bed sheets;817;694;697;13357;30936;16851
8595;7;apartment;Mini fridge;922;545;795;6945;4429;39300
8596;15;penthouse;Toiletries;363;509;382;12626;2435;25558
8597;9;suite;Toiletries;998;252;772;342;5009;26054
8598;3;penthouse;Hangers;652;89;304;32244;3068;23192
8599;6;apartment;Pillows;908;565;866;45234;7905;4092
8600;1;cottage;Coffee maker;667;218;689;44571;35184;27276
8601;7;cottage;Toiletries;304;249;703;28999;39937;5869
8602;4;twin;Hangers;409;810;510;1219;12178;40705
8603;6;loft;Toiletries;128;658;473;5027;16444;121
8604;7;double;Hangers;741;911;601;49996;38885;4038
8605;6;studio;Hangers;601;342;323;5962;39896;22286
8606;10;double;Coffee maker;81;836;256;29655;6617;2761
8607;9;bungalow;Pillows;621;78;728;40368;22948;38427
8608;15;double;Mini fridge;311;959;881;9792;40504;12803
8609;4;apartment;Bed sheets;808;508;569;7377;49193;26303
8610;7;single;Coffee maker;532;297;101;8084;19138;49238
8611;11;double;Pillows;935;57;117;13119;5978;33347
8612;4;loft;Towels;942;151;309;23088;21040;20009
8613;15;suite;Mini fridge;878;841;891;24281;45988;4508
8614;13;loft;Hangers;156;215;868;41812;9260;13890
8615;14;cottage;Hangers;298;860;776;47063;5767;2917
8616;8;twin;Pillows;207;592;288;42556;22325;214
8617;5;loft;Blankets;25;592;901;11006;15551;12992
8618;2;penthouse;Coffee maker;64;679;598;21069;25147;25696
8619;14;apartment;Hangers;309;117;186;16265;17500;33871
8620;15;cottage;Coffee maker;83;183;842;48351;511;27534
8621;10;double;Towels;958;93;476;39945;26846;37777
8622;10;twin;Hairdryer;643;924;135;5063;7002;3959
8623;8;double;Bed sheets;275;664;543;25247;25420;11374
8624;1;double;Toiletries;799;415;52;18735;41852;34913
8625;1;bungalow;Mini fridge;109;626;646;39671;9318;40208
8626;4;loft;Mini fridge;510;646;540;18403;9660;49927
8627;4;apartment;Hairdryer;535;223;541;1253;17419;48335
8628;2;studio;Blankets;158;368;143;3022;30380;27751
8629;15;double;Pillows;665;452;551;28825;2226;22976
8630;14;studio;Bed sheets;959;608;881;13905;37238;10388
8631;6;apartment;Hangers;77;701;813;37857;27758;43042
8632;6;twin;Hangers;716;969;770;3025;24925;6958
8633;12;cottage;Blankets;207;7;610;33972;43118;471
8634;2;twin;Mini fridge;145;969;541;26521;45124;18942
8635;4;loft;Hangers;799;698;580;6341;31683;33216
8636;3;studio;Toiletries;691;370;58;22857;41281;30800
8637;13;cottage;Mini fridge;618;14;50;24919;21405;19145
8638;11;cottage;Mini fridge;657;447;229;35316;12826;17163
8639;1;twin;Mini fridge;161;285;641;3437;18999;3259
8640;2;penthouse;Safe box;375;498;716;8756;22362;25066
8641;3;cottage;Pillows;840;5;172;14722;38451;16789
8642;11;twin;Hairdryer;132;746;401;49244;7595;25298
8643;6;loft;Towels;57;666;967;16338;35817;41036
8644;8;apartment;Blankets;864;150;300;5801;14248;3167
8645;10;cottage;Coffee maker;65;351;670;1477;12212;4783
8646;13;cottage;Safe box;587;560;696;6000;47352;45057
8647;3;apartment;Mini fridge;832;940;937;46745;28108;1265
8648;5;apartment;Hairdryer;951;939;443;12295;40292;24108
8649;4;suite;Towels;909;802;676;24827;11232;28427
8650;9;single;Bed sheets;297;565;802;10015;23466;2571
8651;2;studio;Safe box;785;883;100;5539;42670;26532
8652;9;cottage;Hairdryer;79;259;388;29208;32305;37613
8653;10;single;Blankets;208;94;212;48967;1005;13087
8654;11;cottage;Coffee maker;905;890;188;31810;1046;29675
8655;9;double;Blankets;292;394;315;12419;21492;45694
8656;8;bungalow;Safe box;471;473;743;14828;23611;46029
8657;14;twin;Pillows;24;305;635;27446;10026;42566
8658;7;studio;Mini fridge;399;854;638;2444;22896;49246
8659;14;single;Blankets;970;194;850;45487;2593;27913
8660;4;single;Hangers;329;406;427;44802;11892;43033
8661;5;penthouse;Hairdryer;753;436;634;49439;11283;22123
8662;7;twin;Mini fridge;484;266;275;21829;33354;46210
8663;2;cottage;Towels;633;776;370;21686;22167;47443
8664;4;twin;Toiletries;39;675;939;48564;7011;33998
8665;8;bungalow;Hangers;312;666;864;12112;24773;45026
8666;1;loft;Pillows;634;878;116;37554;15406;26661
8667;11;cottage;Safe box;408;441;719;25933;20064;12298
8668;2;cottage;Blankets;337;478;690;47157;25095;16591
8669;5;apartment;Hangers;70;733;543;38897;19091;41210
8670;5;twin;Safe box;84;120;369;49746;29644;32907
8671;5;double;Bed sheets;497;504;729;1704;1014;27090
8672;15;suite;Towels;466;959;39;18589;38791;37657
8673;12;cottage;Pillows;912;821;439;13261;9246;45377
8674;1;loft;Hairdryer;175;731;180;42264;7322;43332
8675;6;loft;Coffee maker;328;8;747;46305;37423;15891
8676;2;bungalow;Hangers;204;234;482;30804;33085;41955
8677;7;cottage;Towels;395;203;132;35840;28637;11952
8678;7;twin;Blankets;307;486;422;37604;26633;15796
8679;10;studio;Hangers;858;319;259;18533;39200;45399
8680;6;penthouse;Safe box;884;160;671;40566;44180;10223
8681;3;double;Mini fridge;616;572;283;3752;7712;11401
8682;13;studio;Blankets;156;279;601;33633;13303;7610
8683;5;bungalow;Safe box;612;639;350;4297;28719;879
8684;8;single;Blankets;502;311;46;37480;29589;27176
8685;3;penthouse;Hangers;596;705;153;32657;24244;5767
8686;12;apartment;Hangers;386;441;820;35965;48152;4206
8687;5;suite;Safe box;960;901;899;6629;41949;38261
8688;9;loft;Pillows;635;6;104;35605;38258;10473
8689;1;cottage;Toiletries;368;835;679;24371;42729;47403
8690;8;apartment;Coffee maker;485;722;986;49471;14154;28831
8691;2;bungalow;Hairdryer;782;999;633;45256;26137;629
8692;2;suite;Pillows;758;956;439;16373;5632;1841
8693;1;double;Mini fridge;935;157;221;35119;5999;43688
8694;15;cottage;Safe box;22;407;390;19437;20633;11137
8695;1;single;Mini fridge;105;732;703;32947;7954;3568
8696;11;studio;Blankets;86;414;899;33932;3523;17605
8697;1;studio;Mini fridge;75;369;174;42522;1145;48875
8698;15;penthouse;Pillows;827;928;921;3208;15238;44774
8699;5;studio;Towels;394;314;721;26871;11157;31297
8700;9;suite;Hairdryer;49;718;791;49645;11860;32988
8701;12;suite;Towels;572;702;799;13408;9792;31953
8702;11;studio;Safe box;586;324;259;41480;10288;5007
8703;12;cottage;Safe box;571;941;61;49603;1131;36254
8704;6;penthouse;Blankets;759;461;538;16877;49238;8091
8705;3;twin;Pillows;965;381;758;26939;27076;31494
8706;6;single;Hairdryer;718;136;662;24747;21260;13954
